http://www.azleg.gov/MembersPage.asp?Member_ID=12&Legislature=52&Session_ID=115 "Andy Biggs"
http://www.azleg.gov/MembersPage.asp?Member_ID=13&Legislature=52&Session_ID=115 "Don Shooter"
http://www.azleg.gov/MembersPage.asp?Member_ID=14&Legislature=52&Session_ID=115 "Gail Griffin"
http://www.azleg.gov/MembersPage.asp?Member_ID=15&Legislature=52&Session_ID=115 "Nancy Barto"
http://www.azleg.gov/MembersPage.asp?Member_ID=16&Legislature=52&Session_ID=115 "David C Farnsworth"
http://www.azleg.gov/MembersPage.asp?Member_ID=17&Legislature=52&Session_ID=115 "Steve Yarbrough"
http://www.azleg.gov/MembersPage.asp?Member_ID=18&Legislature=52&Session_ID=115 "Jeff Dial"
http://www.azleg.gov/MembersPage.asp?Member_ID=19&Legislature=52&Session_ID=115 "Lupe Contreras"
http://www.azleg.gov/MembersPage.asp?Member_ID=20&Legislature=52&Session_ID=115 "Kimberly Yee"
http://www.azleg.gov/MembersPage.asp?Member_ID=21&Legislature=52&Session_ID=115 "Debbie Lesko"
http://www.azleg.gov/MembersPage.asp?Member_ID=22&Legislature=52&Session_ID=115 "Judy Burges"
http://www.azleg.gov/MembersPage.asp?Member_ID=23&Legislature=52&Session_ID=115 "John Kavanagh"
http://www.azleg.gov/MembersPage.asp?Member_ID=24&Legislature=52&Session_ID=115 "Katie Hobbs"
http://www.azleg.gov/MembersPage.asp?Member_ID=25&Legislature=52&Session_ID=115 "Bob Worsley"
http://www.azleg.gov/MembersPage.asp?Member_ID=91&Legislature=52&Session_ID=115 "Andrew C Sherwood"
http://www.azleg.gov/MembersPage.asp?Member_ID=27&Legislature=52&Session_ID=115 "Catherine Miranda"
http://www.azleg.gov/MembersPage.asp?Member_ID=28&Legislature=52&Session_ID=115 "Adam Driggs"
http://www.azleg.gov/MembersPage.asp?Member_ID=29&Legislature=52&Session_ID=115 "Martin Quezada"
http://www.azleg.gov/MembersPage.asp?Member_ID=30&Legislature=52&Session_ID=115 "Robert Meza"
http://www.azleg.gov/Bills.asp?FirstBill=SB1001&LastBill=SB1050 "SB1001 through SB1050"
http://www.azleg.gov/Bills.asp?FirstBill=SB1051&LastBill=SB1100 "SB1051 through SB1100"
http://www.azleg.gov/Bills.asp?FirstBill=SB1101&LastBill=SB1150 "SB1101 through SB1150"
http://www.azleg.gov/Bills.asp?FirstBill=SB1151&LastBill=SB1200 "SB1151 through SB1200"
http://www.azleg.gov/Bills.asp?FirstBill=SB1201&LastBill=SB1250 "SB1201 through SB1250"
http://www.azleg.gov/Bills.asp?FirstBill=SB1251&LastBill=SB1300 "SB1251 through SB1300"
http://www.azleg.gov/Bills.asp?FirstBill=SB1301&LastBill=SB1350 "SB1301 through SB1350"
http://www.azleg.gov/Bills.asp?FirstBill=SB1351&LastBill=SB1400 "SB1351 through SB1400"
http://www.azleg.gov/Bills.asp?FirstBill=SB1401&LastBill=SB1450 "SB1401 through SB1450"
http://www.azleg.gov/Bills.asp?FirstBill=SB1451&LastBill=SB1500 "SB1451 through SB1500"
http://www.azleg.gov/Bills.asp?FirstBill=SB1501&LastBill=SB1550 "SB1501 through SB1550"
http://www.azleg.gov/Bills.asp?FirstBill=SenateOddBalls "Senate Memorials and Resolutions"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1629 "Noel Campbell"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1628 "Karen Fann"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1617 "John Christopher Ackerley"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1644 "Rosanna Gabaldón"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1633 "Sally Ann Gonzales"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1657 "Macario Saldate"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1619 "Charlene R. Fernandez"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1667 "Lisa Otondo"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1620 "Sonny Borrelli"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1623 "Regina Cobb"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1669 "Brenda Barton"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1655 "Bob Thorpe"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1624 "Jennifer Benally"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1636 "Albert Hale"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1658 "Frank Pratt"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1621 "Thomas Shope"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1630 "Randall Friese"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1679 "Matt Kopec"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1674 "Stefanie Mach"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1652 "Bruce Wheeler"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1665 "Mark Finchem"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1616 "Vince Leach"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1637 "Eddie Farnsworth"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1654 "Warren Petersen"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1622 "Darin Mitchell"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1651 "Steve Montenegro"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1635 "David Gowan"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1641 "David Stevens"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1639 "John Allen"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1666 "Heather Carter"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1640 "Doug Coleman"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1638 "Kelly Townsend"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1662 "J.D. Mesnard"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1673 "Jeff Weninger"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1642 "Jill Norgaard"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1650 "Bob Robson"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1643 "Mark Cardenas"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1671 "Diego Espinoza"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1645 "Paul Boyer"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1649 "Anthony Kern"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1625 "Rick Gray"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1646 "Tony Rivero"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1626 "David Livingston"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1653 "Phil Lovas"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1656 "Jay Lawrence"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1672 "Michelle Ugenti-Rita"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1634 "Lela Alston"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1648 "Ken Clark"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1675 "Russell Bowers"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1663 "Justin Olson"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1647 "Juan Mendez"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1677 "Celeste Plumlee"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1631 "Reginald Bolding"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1660 "Rebecca Rios"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1664 "Kate Brophy McGee"
http://www.azleg.gov/House/House-member/?legislature=52&session=&legislator=1627 "Eric Meyer"
http://www.azleg.gov/House/House-member/?legislature=52&session=115&legislator=1661 "Richard Andrade"
http://www.azleg.gov/House/House-member/?legislature=52&session=115&legislator=1659 "Ceci Velásquez"
http://www.azleg.gov/House/House-member/?legislature=52&session=115&legislator=1668 "Jonathan Larkin"
http://www.azleg.gov/House/House-member/?legislature=52&session=115&legislator=1670 "Debbie McCune Davis"
http://www.azleg.gov/Bills.asp?FirstBill=HB2001&LastBill=HB2050 "HB2001 through HB2050"
http://www.azleg.gov/Bills.asp?FirstBill=HB2051&LastBill=HB2100 "HB2051 through HB2100"
http://www.azleg.gov/Bills.asp?FirstBill=HB2101&LastBill=HB2150 "HB2101 through HB2150"
http://www.azleg.gov/Bills.asp?FirstBill=HB2151&LastBill=HB2200 "HB2151 through HB2200"
http://www.azleg.gov/Bills.asp?FirstBill=HB2201&LastBill=HB2250 "HB2201 through HB2250"
http://www.azleg.gov/Bills.asp?FirstBill=HB2251&LastBill=HB2300 "HB2251 through HB2300"
http://www.azleg.gov/Bills.asp?FirstBill=HB2301&LastBill=HB2350 "HB2301 through HB2350"
http://www.azleg.gov/Bills.asp?FirstBill=HB2351&LastBill=HB2400 "HB2351 through HB2400"
http://www.azleg.gov/Bills.asp?FirstBill=HB2401&LastBill=HB2450 "HB2401 through HB2450"
http://www.azleg.gov/Bills.asp?FirstBill=HB2451&LastBill=HB2500 "HB2451 through HB2500"
http://www.azleg.gov/Bills.asp?FirstBill=HB2501&LastBill=HB2550 "HB2501 through HB2550"
http://www.azleg.gov/Bills.asp?FirstBill=HB2551&LastBill=HB2600 "HB2551 through HB2600"
http://www.azleg.gov/Bills.asp?FirstBill=HB2601&LastBill=HB2650 "HB2601 through HB2650"
http://www.azleg.gov/Bills.asp?FirstBill=HB2651&LastBill=HB2700 "HB2651 through HB2700"
http://www.azleg.gov/Bills.asp?FirstBill=HB2701&LastBill=HB2750 "HB2701 through HB2750"
http://www.azleg.gov/Bills.asp?FirstBill=HouseOddBalls "House Memorials and Resolutions"
https://azdirect.az.gov/agencies "Arizona State Agencies"
http://www.mccain.senate.gov/public/ "John McCain"
http://www.flake.senate.gov/public/ "Jeff Flake"
https://kirkpatrick.house.gov/ "Ann Kirkpatrick"
https://mcsally.house.gov/ "Martha McSally"
https://grijalva.house.gov/ "Raul Grijalva"
http://gosar.house.gov/ "Paul Gosar"
https://salmon.house.gov/ "Matt Salmon"
https://schweikert.house.gov/ "David Schweikert"
https://rubengallego.house.gov/ "Ruben Gallego"
https://franks.house.gov/ "Trent Franks"
https://sinema.house.gov/ "Kyrsten Sinema"
http://codefortucson.org "Code for Tucson"
